epoch,learning_rate,train_loss,train_acc,val_loss,val_acc
1,0.001,1.3509103448556767,0.30155875299760193,1.2712960773044162,0.35555555555555557
2,0.0009924418571235737,1.1842510025564144,0.4172661870503597,1.1288066095776028,0.44722222222222224
3,0.0009699970788409896,1.1043488244644457,0.4448441247002398,1.5572707970937094,0.28888888888888886
4,0.0009333476383827585,1.019928255241266,0.49280575539568344,1.064588071240319,0.4722222222222222
5,0.0008836071104516916,0.9587104696449902,0.5197841726618705,1.0310689475801256,0.49722222222222223
6,0.0008222868358190534,0.9441892791995041,0.5449640287769785,0.8906030548943413,0.5833333333333334
7,0.0007512500000000001,0.8951946624177252,0.5509592326139089,1.3416559762424893,0.41944444444444445
8,0.0006726550213045203,0.8648122807772611,0.6037170263788969,0.886235859658983,0.5305555555555556
9,0.0005888899683892979,0.8428905613416676,0.6426858513189448,0.8469118277231852,0.6138888888888889
10,0.0005024999999999999,0.8163119413012223,0.6654676258992805,0.8008938749631246,0.575
11,0.0004161100316107021,0.7936531519718307,0.697841726618705,0.8080115172598097,0.6416666666666667
12,0.0003323449786954799,0.7667390295355726,0.7260191846522782,0.7611806366178725,0.6972222222222222
13,0.00025375000000000007,0.7415098991039559,0.7422062350119905,0.8239205678304037,0.7
14,0.00018271316418094663,0.7110452809208017,0.7679856115107914,0.7539539708031548,0.6805555555555556
15,0.00012139288954830846,0.6847683527200914,0.7949640287769785,0.69736647605896,0.725
16,7.165236161724183e-05,0.6787783692208983,0.7991606714628298,0.660071943865882,0.7833333333333333
17,3.50029211590106e-05,0.6611173914776718,0.8249400479616307,0.6484519441922506,0.7805555555555556
18,1.2558142876426508e-05,0.6591811866211377,0.8237410071942446,0.6436878853374057,0.7972222222222223
