epoch,learning_rate,train_loss,train_acc,val_loss,val_acc
1,0.001,1.3140287871162097,0.345703125,1.2345432551701863,0.38666666666666666
2,0.0009924418571235737,1.1602640574177105,0.423828125,1.1096781873703003,0.4533333333333333
3,0.0009699970788409896,1.0817643341918786,0.455078125,1.0893021607398987,0.43666666666666665
4,0.0009333476383827585,1.0505095111827056,0.4934895833333333,1.034732506275177,0.43333333333333335
5,0.0008836071104516916,0.9830339526136717,0.5208333333333334,0.9840322351455688,0.47333333333333333
6,0.0008222868358190534,0.9205915704369545,0.529296875,0.9566058985392253,0.5166666666666667
7,0.0007512500000000001,0.8955056332051754,0.5735677083333334,1.8106008625030519,0.33666666666666667
8,0.0006726550213045203,0.8665160412589709,0.6002604166666666,0.908665209611257,0.6166666666666667
9,0.0005888899683892979,0.8401447857419649,0.638671875,0.8249828004837036,0.5633333333333334
10,0.0005024999999999999,0.8291848748922348,0.6608072916666666,0.9527008636792501,0.6133333333333333
11,0.0004161100316107021,0.787578950325648,0.7109375,0.7616370479265849,0.7666666666666667
12,0.0003323449786954799,0.7645662998159727,0.732421875,0.7719924918810527,0.6966666666666667
13,0.00025375000000000007,0.7424811460077763,0.744140625,0.9756360522905986,0.57
14,0.00018271316418094663,0.7205028993388017,0.76171875,0.775004776318868,0.64
15,0.00012139288954830846,0.7012853597601255,0.78125,0.7101897303263346,0.7566666666666667
16,7.165236161724183e-05,0.6717076227068901,0.8255208333333334,0.6639948423703511,0.8233333333333334
17,3.50029211590106e-05,0.6613134555518627,0.8313802083333334,0.6488250366846721,0.8366666666666667
18,1.2558142876426508e-05,0.6539939468105634,0.8365885416666666,0.6446806430816651,0.82
