experiment_name,architecture,dataset_variant,best_epoch,epochs_completed,best_val_accuracy,primary_test_accuracy,test_full_accuracy,test_full_macro_f1,test_strict_accuracy,test_strict_macro_f1,test_fallback_accuracy,test_fallback_macro_f1,full_test_ms_per_image,training_seconds,total_parameters,trainable_parameters,checkpoint_size_mb,checkpoint
simple_cnn_full,simple_cnn,full,18,18,0.7972222222222223,0.8735632183908046,0.8735632183908046,0.8730763939838592,0.87,0.8695759913101829,0.8958333333333334,0.8945498945498945,31.56509511492245,2337.2922731,316228,316228,1.2202425003051758,<project-root>\models\trained\simple_cnn_full_best.pt
simple_cnn_strict,simple_cnn,strict,17,18,0.8366666666666667,0.89,0.8879310344827587,0.8878174957354158,0.89,0.8899678410956606,0.875,0.873015873015873,19.472838793085064,1835.1540625000052,316228,316228,1.220372200012207,<project-root>\models\trained\simple_cnn_strict_best.pt
mobilenet_v3_small_finetune_full,mobilenet_v3_small_finetune,full,7,10,0.9333333333333333,0.9224137931034483,0.9224137931034483,0.9225908701997692,0.93,0.9302845200432712,0.875,0.8739847109412326,5.804625862086025,227.31283019999682,1521956,1239588,5.938204765319824,<project-root>\models\trained\mobilenet_v3_small_finetune_full_best.pt
mobilenet_v3_small_finetune_strict,mobilenet_v3_small_finetune,strict,3,6,0.9233333333333333,0.8833333333333333,0.8879310344827587,0.8884942575222077,0.8833333333333333,0.8838758518644025,0.9166666666666666,0.9158241758241759,6.027568965535089,120.98967740000808,1521956,1239588,5.941855430603027,<project-root>\models\trained\mobilenet_v3_small_finetune_strict_best.pt
