epoch,learning_rate,train_loss,train_acc,val_loss,val_acc
1,0.0005,0.8928569306572565,0.6372901678657075,0.9838223020235698,0.5194444444444445
2,0.00048788648778305053,0.5349571396121018,0.86810551558753,0.503875830438402,0.8611111111111112
3,0.0004527317061077995,0.41713006119076296,0.9136690647482014,0.4954662256770664,0.8583333333333333
4,0.0003979768499423871,0.35082664942855746,0.9508393285371702,0.40580741365750633,0.9194444444444444
5,0.0003289817061077995,0.32315284313915443,0.9640287769784173,0.40116115940941705,0.9138888888888889
6,0.0002525,0.2954225108492003,0.9796163069544365,0.4195772714085049,0.8916666666666667
7,0.00017601829389220054,0.29000966811923384,0.9802158273381295,0.3952733318010966,0.9333333333333333
8,0.00010702315005761292,0.28260149233203996,0.9802158273381295,0.3991007202201419,0.9222222222222223
9,5.2268293892200535e-05,0.27254376608690767,0.9886091127098321,0.39211746984057955,0.9194444444444444
10,1.7113512216949503e-05,0.27523490986663945,0.988009592326139,0.3953513781229655,0.9194444444444444
